Continent,City,Country,Population (2023)
South America,Sao Paulo,Brazil,22619736
South America,Buenos Aires,Argentina,15490415
South America,Rio De Janeiro,Brazil,13727720
South America,Bogota,Colombia,11507960
South America,Lima,Peru,11204382
South America,Santiago,Chile,6903392
South America,Belo Horizonte,Brazil,6247889
South America,Brasilia,Brazil,4873048
South America,Recife,Brazil,4263940
South America,Porto Alegre,Brazil,4211933
South America,Fortaleza,Brazil,4206240
South America,Medellin,Colombia,4102308
South America,Salvador,Brazil,3958384
South America,Curitiba,Brazil,3813082
South America,Asuncion,Paraguay,3510511
South America,Campinas,Brazil,3422796
South America,Guayaquil,Ecuador,3142466
South America,Caracas,Venezuela,2972145
South America,Cali,Colombia,2863730
South America,Goiania,Brazil,2848473
South America,Belem,Brazil,2409409
South America,Manaus,Brazil,2375636
South America,Maracaibo,Venezuela,2367626
South America,Barranquilla,Colombia,2349400
South America,Grande Vitoria,Brazil,2170513
South America,Valencia,Venezuela,1983445
South America,Quito,Ecuador,1956995
South America,Baixada Santista,Brazil,1947785
South America,La Paz,Bolivia,1935619
South America,Santa Cruz,Bolivia,1820114
South America,Montevideo,Uruguay,1774396
South America,Cordoba,Argentina,1611651
South America,Rosario,Argentina,1594096
South America,Natal,Brazil,1535316
South America,Grande Sao Luis,Brazil,1523629
South America,Joao Pessoa,Brazil,1421827
South America,Cochabamba,Bolivia,1400250
South America,Bucaramanga,Colombia,1381498
South America,Maceio,Brazil,1363510
South America,Joinville,Brazil,1348521
South America,Florianopolis,Brazil,1294486
South America,Barquisimeto,Venezuela,1254192
South America,Maracay,Venezuela,1242945
South America,Mendoza,Argentina,1226427
South America,Cartagena,Colombia,1087599
South America,Aracaju,Brazil,1056986
South America,Teresina,Brazil,1050459
South America,San Miguel De Tucuman,Argentina,1026767
South America,Valparaiso,Chile,1008599
South America,Ciudad Guayana,Venezuela,964266
South America,Cucuta,Colombia,963045
South America,Arequipa,Peru,958998
South America,Campo Grande,Brazil,926095
South America,Londrina,Brazil,922425
South America,La Plata,Argentina,914036
South America,Concepcion,Chile,911862
South America,Trujillo,Peru,903896
South America,Barcelona Puerto La Cruz,Venezuela,825581
South America,Sorocaba,Brazil,813320
South America,Maturin,Venezuela,758185
South America,Sao Jose Dos Campos,Brazil,749188
South America,Ribeirao Preto,Brazil,742115
